sample_id,Staphylococcus_epidermidis,Streptococcus_oralis,Corynebacterium_striatum,Cutibacterium_acnes,Rothia_dentocariosa,Neisseria_sicca,Micrococcus_luteus,Streptococcus_mitis,Haemophilus_parainfluenzae,Lactobacillus_gasseri,Clostridium_perfringens,Clostridium_difficile,Bacteroides_fragilis,Parvimonas_micra,Peptostreptococcus_anaerobius,Escherichia_coli,Klebsiella_pneumoniae,Proteus_mirabilis,Morganella_morganii,Enterococcus_faecalis,Wohlfahrtiimonas_chitiniclastica,Ignatzschineria_larvae,Fusobacterium_nucleatum,Prevotella_melaninogenica,Acinetobacter_baumannii,Pseudomonas_fluorescens,Pseudomonas_putida,Bacillus_subtilis,Bacillus_cereus,Flavobacterium_succinicans,Sphingobacterium_multivorum,Chryseobacterium_gleum,Streptomyces_albus,Nocardia_asteroides,Planococcus_halocryophilus,Pedobacter_heparinus,Cellulomonas_flavigena,Arthrobacter_globiformis,Burkholderia_cepacia,Rhizobium_radiobacter,Brevibacterium_casei,Corynebacterium_jeikeium,Streptococcus_constellatus,Propionibacterium_avidum,Serratia_marcescens,Staphylococcus_aureus,Treponema_denticola,Campylobacter_rectus,Filifactor_alocis,Prevotella_intermedia
SAMP_2001,290,182,499,289,105,55,186,149,32,128,1552,540,483,418,300,570,273,280,212,367,77,302,630,263,23,6,5,12,18,0,0,0,0,0,0,0,0,0,1,0,267,347,176,318,0,0,0,0,0,0
SAMP_2002,1797,1154,1814,919,361,207,435,510,97,315,2113,1275,870,957,681,1826,851,411,464,1325,372,478,1376,578,57,19,5,12,27,3,10,3,5,0,0,4,2,0,6,0,818,604,841,679,160,0,0,0,0,0
SAMP_2003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,70,19,0,0,3082,2836,4519,1788,2850,2297,2516,1638,1801,542,945,1624,555,1512,1276,511,1247,843,1053,881,0,0,0,0,0,0
SAMP_2004,1006,765,1504,1004,315,93,398,286,48,135,1760,495,765,324,416,1010,488,272,334,896,180,351,425,380,28,11,7,23,12,5,2,0,3,0,0,5,0,2,5,1,558,500,232,512,0,0,0,0,0,0
SAMP_2005,561,339,929,496,143,77,201,184,35,59,1981,1253,881,398,523,1097,738,516,361,484,332,352,985,367,56,13,7,30,25,5,4,0,0,0,0,1,0,1,4,0,255,510,434,528,0,0,0,0,0,0
SAMP_2006,0,2,0,1,0,0,0,0,0,0,395,1829,1545,219,423,147,86,1057,1938,1301,6081,4605,3,98,5493,2437,2103,2504,3518,1355,805,458,304,210,469,491,60,211,576,53,2794,1790,1993,925,0,0,0,0,0,0
SAMP_2007,146,83,218,131,14,17,45,20,7,13,4012,3737,2783,2362,2296,2215,3189,2486,2270,2281,2031,2142,1328,1563,337,57,78,157,247,27,37,4,8,4,12,38,4,13,39,2,1889,860,788,804,0,0,0,0,0,0
SAMP_2008,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,12,1,135,71,0,0,2508,1191,1537,1336,854,1166,648,1037,717,430,696,543,243,724,875,227,430,400,498,324,0,0,0,0,0,0
SAMP_2009,6235,4259,4408,3511,3212,1913,1981,2885,1294,1534,1472,1464,416,212,328,1001,362,217,242,518,92,291,351,195,20,29,12,12,19,6,4,0,3,0,0,0,0,1,3,0,760,1540,1441,1375,0,0,0,0,0,0
SAMP_2010,9,6,12,14,5,1,2,0,0,0,1474,1482,1137,946,1261,1276,702,1379,1087,1412,1666,1192,385,1244,184,227,69,97,201,44,26,17,3,3,13,19,3,5,41,1,623,459,394,374,0,0,0,0,0,0
SAMP_2011,2570,3617,2121,1756,2202,1107,1299,1550,543,492,947,307,198,137,188,701,192,128,68,317,117,113,211,168,34,2,4,6,17,0,1,0,0,0,2,0,0,1,2,0,1029,1492,1117,764,183,0,0,61,0,0
SAMP_2012,2704,1530,2306,2146,957,369,820,836,696,426,1002,654,228,96,179,516,242,115,81,249,100,142,162,112,18,11,6,4,8,3,1,0,2,0,1,0,0,0,1,0,535,1150,1001,855,0,0,0,0,0,0
SAMP_2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,0,0,665,677,582,549,368,458,298,278,282,253,188,412,101,215,194,137,87,104,132,109,0,0,0,0,0,0
SAMP_2014,3903,3393,2387,2754,1598,1582,1087,1308,616,501,2409,1232,858,548,646,2014,628,460,376,1053,130,451,948,329,66,16,21,30,25,5,5,3,1,0,3,1,1,1,4,1,1302,2032,961,1178,0,0,0,0,0,0
SAMP_2015,8,7,23,7,1,2,6,2,0,3,3747,2178,2889,1919,1174,1345,1397,2796,1745,1359,2284,2552,273,648,475,248,178,248,336,91,40,21,16,26,18,37,9,19,47,2,806,1237,449,783,0,0,0,0,0,0
SAMP_2016,125,63,269,88,42,15,58,35,5,14,2730,1640,3072,986,1059,1868,1244,853,782,1142,635,956,838,908,145,38,59,54,98,16,11,3,2,4,3,9,1,6,11,0,909,774,698,501,0,0,0,0,0,0
SAMP_2017,77,50,256,114,15,14,54,14,5,8,1264,861,771,491,364,466,703,368,425,533,259,384,383,443,70,19,6,23,39,1,3,1,1,2,0,9,2,2,0,0,320,384,261,201,0,0,0,0,0,0
SAMP_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,2547,1725,2690,1370,1719,1156,1153,871,1241,1265,579,1248,465,992,523,486,534,551,417,435,0,0,0,0,0,0
SAMP_2019,3730,3537,2681,2704,2295,1158,1968,1159,973,880,821,351,170,158,108,740,246,109,155,256,69,92,178,90,15,5,5,5,16,4,0,3,0,0,0,2,0,0,5,0,1239,1058,1001,1238,0,0,0,0,0,0
SAMP_2020,0,0,1,0,0,0,0,0,0,0,833,1721,1970,220,641,275,151,1902,1189,1024,2431,2156,12,129,1394,511,390,717,698,233,144,84,59,20,89,208,16,62,240,11,1281,635,761,399,0,0,0,0,0,0
SAMP_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,1717,1701,1830,2158,2227,1444,1526,1251,1005,710,1733,1069,1120,625,693,837,937,436,686,0,0,0,0,0,0
SAMP_2022,3,2,6,4,1,0,0,1,0,1,1376,1051,1744,582,668,563,247,1197,925,790,801,1134,194,299,347,208,83,133,165,23,30,6,19,2,9,17,3,5,25,1,307,503,177,290,0,0,0,0,0,0
SAMP_2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,0,0,2606,2415,2501,1387,2735,1720,1228,1060,1157,1375,811,867,760,1614,1059,489,886,702,487,345,0,0,0,0,0,0
SAMP_2024,2781,2520,3471,1652,1349,776,1170,1383,849,516,1195,492,212,161,191,463,247,142,145,299,77,118,265,151,20,6,9,10,16,3,2,1,0,1,0,2,1,0,1,0,799,840,751,1119,0,0,0,0,0,0
SAMP_2025,121,49,186,131,10,15,47,35,10,6,2209,1745,1260,1343,1643,1175,603,867,539,2247,762,1154,999,1082,133,44,30,53,73,14,10,8,2,3,2,10,1,5,13,0,925,468,391,404,0,0,0,0,0,0
SAMP_2026,707,490,667,841,188,109,268,248,74,140,1050,515,307,330,276,737,469,226,188,789,248,180,435,285,20,7,5,11,2,3,3,1,0,1,1,2,0,1,4,0,304,517,154,459,0,0,0,0,0,0
SAMP_2027,0,0,0,0,0,0,0,0,0,0,333,1293,1282,114,189,90,36,1112,809,343,2086,2494,3,44,1431,1341,890,795,943,301,265,79,141,56,89,182,39,141,239,13,951,1149,577,1251,0,0,0,0,0,0
SAMP_2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450,5819,3111,2930,4081,3999,1780,2592,3383,2070,2325,1899,2238,1407,1692,938,1945,1405,1542,926,0,0,0,0,0,0
SAMP_2029,3400,1576,2970,1689,585,414,1156,523,173,308,6663,2318,1469,1548,1328,3939,1828,1350,1068,2649,741,977,3048,1977,108,43,42,108,85,4,11,4,4,1,5,9,1,4,12,0,1699,935,1196,679,0,0,125,0,0,0
SAMP_2030,0,0,1,0,0,0,0,0,0,0,229,1264,790,70,204,154,50,923,1443,556,1844,2243,11,76,1209,742,259,572,1032,197,143,58,58,34,30,117,16,63,129,13,343,768,602,680,0,0,0,0,0,0
SAMP_2031,2046,1308,2177,1479,621,457,610,543,147,517,2702,1478,498,459,488,1539,604,311,211,844,127,301,647,471,56,16,4,21,19,5,3,3,2,0,0,3,1,1,0,0,708,1032,559,426,0,0,0,0,0,0
SAMP_2032,38,25,39,12,1,0,3,6,2,2,3460,2574,2822,1446,1780,1834,1183,3264,2773,1649,1964,2894,836,1525,617,332,111,178,187,30,28,22,11,8,11,30,4,12,44,1,1336,901,742,427,0,0,0,0,0,0
SAMP_2033,33,16,57,63,4,7,13,6,0,6,2527,1514,2107,1264,754,1519,974,1930,887,1569,780,1034,887,706,327,87,67,135,119,49,14,8,4,1,13,17,0,4,24,2,1112,652,486,395,0,0,0,0,0,0
SAMP_2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3101,1633,1487,1410,1436,1242,884,714,740,786,619,1039,706,846,529,584,599,763,648,300,0,0,0,0,0,0
SAMP_2035,2,0,3,4,0,1,0,0,0,0,1087,2251,2832,856,884,844,684,1821,1196,1306,1704,3843,104,214,626,275,317,580,367,80,60,31,13,15,35,58,10,18,143,7,838,1016,506,731,0,0,0,0,0,0
SAMP_2036,406,169,415,173,66,26,147,95,27,38,4198,1312,1222,504,665,1508,1412,909,913,995,283,771,983,549,43,12,14,22,49,13,4,3,3,0,4,0,1,1,9,0,431,559,312,480,0,0,0,0,0,0
SAMP_2037,1605,1574,1278,1733,844,655,616,712,391,571,993,414,428,167,240,432,258,153,191,606,70,116,357,301,25,16,6,13,7,2,0,1,0,2,1,1,0,3,1,0,990,834,293,613,0,0,0,0,0,0
SAMP_2038,4959,6188,3532,2353,1739,1083,1975,1922,425,767,3406,1883,859,775,631,1525,995,499,525,926,279,440,1440,752,88,17,16,33,52,9,5,1,1,0,1,2,1,0,12,0,1518,1719,846,1612,0,0,0,0,0,0
SAMP_2039,854,1085,1374,1164,599,388,406,586,179,363,1696,710,589,376,352,1221,759,262,239,543,260,317,898,361,32,12,6,22,16,6,0,3,1,0,3,2,0,1,1,0,671,935,565,604,0,0,0,0,0,0
SAMP_2040,4454,1176,3454,2059,1039,518,1389,1802,496,549,3899,1360,1311,833,973,2636,1307,756,704,2620,338,466,1089,1634,79,38,20,30,26,10,4,3,2,0,3,4,0,4,10,0,1260,1847,991,1519,0,0,0,0,0,0
SAMP_2041,0,0,0,0,0,0,0,0,0,0,2,16,6,0,0,0,0,15,45,4,373,235,0,0,6196,3138,2489,2982,3040,2184,2210,1143,1322,1200,1103,1518,366,1327,1228,356,1121,1246,1144,725,0,0,0,0,0,0
SAMP_2042,1,2,8,1,0,0,1,0,0,0,1197,2346,3060,515,994,748,335,2108,2421,1243,2793,3556,41,395,948,513,481,759,961,169,95,66,49,41,39,73,5,81,95,13,1466,797,458,1025,0,0,0,0,0,0
SAMP_2043,0,0,1,2,1,0,1,0,0,0,469,913,687,268,519,381,174,721,838,640,730,669,53,211,328,127,67,153,166,50,31,7,14,3,14,27,3,12,18,0,279,432,136,175,0,0,0,0,0,0
SAMP_2044,2070,1562,1673,853,452,415,644,770,252,325,1080,385,344,154,410,1043,316,134,126,497,93,207,227,212,26,12,2,4,10,1,3,1,0,1,0,2,0,0,1,0,894,696,527,649,0,0,0,64,0,0
SAMP_2045,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,1,0,76,58,0,0,1581,1332,1510,639,1526,996,1238,868,605,772,488,1388,276,529,736,294,685,641,544,775,0,0,0,0,0,0
SAMP_2046,0,0,6,2,0,0,2,0,1,0,1628,2868,2775,594,1146,767,287,1894,2186,2423,2299,4552,51,338,3098,939,456,1025,1680,219,185,119,57,22,45,137,7,27,223,13,2608,1305,1393,1009,0,0,0,0,0,0
SAMP_2047,3170,1923,2646,2638,1100,820,779,1386,666,886,2250,572,215,121,192,468,106,132,103,416,83,124,196,149,29,7,2,7,8,2,2,0,1,0,0,1,0,0,2,1,905,1195,754,1207,0,0,0,0,0,0
SAMP_2048,0,1,0,1,0,0,0,0,0,0,309,1222,1332,77,346,175,104,791,1611,540,1629,1627,4,96,2072,834,818,846,1031,144,117,65,95,47,67,171,13,106,228,10,782,931,830,778,0,0,0,0,0,0
SAMP_2049,15,11,43,26,4,0,4,3,3,6,3108,2837,2273,1108,1811,1795,1401,2128,1697,2223,1429,2214,545,742,576,220,94,104,223,59,14,23,14,4,15,31,2,10,28,2,711,895,812,514,0,0,0,0,0,0
SAMP_2050,1415,1404,1727,1058,410,314,723,848,362,564,914,309,213,96,174,435,100,98,129,331,82,95,186,161,10,13,1,1,8,2,0,0,0,0,2,2,0,0,0,0,677,805,231,381,0,0,69,0,0,0
SAMP_2051,20,6,12,6,1,1,6,1,0,3,953,584,706,369,326,359,279,472,333,928,240,544,265,234,126,24,19,25,42,8,6,2,0,1,1,8,0,2,2,0,284,282,109,91,0,0,0,0,0,0
SAMP_2052,8,11,59,23,6,1,11,2,0,4,2694,2327,1364,1025,860,1229,896,1007,539,1133,739,1090,334,701,213,48,48,129,54,11,9,3,11,2,7,13,0,6,11,2,523,446,357,251,0,0,0,0,0,0
SAMP_2053,1817,2402,2089,2221,368,372,499,957,294,306,1477,656,294,256,362,780,329,173,202,670,107,214,367,340,47,12,9,18,13,2,3,0,1,0,2,1,0,1,0,0,1325,637,860,633,0,0,0,0,46,0
SAMP_2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7326,6962,4580,3255,3252,3629,2104,1818,2025,2052,1468,2972,2123,3224,1890,1919,1469,1681,1157,807,0,0,0,0,0,168
SAMP_2055,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,89,25,0,0,3594,990,1207,1212,1484,635,920,1175,917,542,341,858,308,941,605,310,459,522,466,210,0,0,0,0,0,0
SAMP_2056,0,0,1,0,1,1,0,0,0,0,559,1246,1536,147,617,163,70,1607,2416,842,5132,2705,2,79,4533,1749,1130,1196,1970,360,363,93,167,69,138,272,25,123,411,26,999,1437,781,992,0,0,0,0,0,0
SAMP_2057,20,22,45,21,9,4,13,2,1,0,3500,1635,1125,1260,1048,471,1061,1175,833,1133,899,743,664,941,202,54,50,41,90,25,12,6,4,2,5,10,0,4,14,0,416,511,257,325,0,64,0,0,0,0
SAMP_2058,155,78,221,114,40,22,60,39,7,17,1982,1119,789,729,627,1191,708,468,296,585,195,521,426,559,68,31,11,36,36,10,7,1,0,0,2,12,0,0,6,0,323,312,439,293,0,0,0,0,0,0
SAMP_2059,0,0,1,2,0,0,0,0,0,0,660,2825,1585,387,661,386,183,2376,1940,1273,1879,4193,10,155,3637,1427,678,1702,1028,578,242,182,125,46,158,190,40,104,574,12,1136,1220,1146,758,0,0,0,0,0,0
SAMP_2060,3,3,3,6,1,0,0,1,0,1,1963,918,2167,590,931,876,807,1859,1171,1464,902,1612,183,402,463,148,97,198,159,44,18,9,15,2,11,26,3,7,24,2,577,459,582,519,0,0,0,0,0,0
SAMP_2061,2246,2599,1874,1520,1668,836,1604,1121,837,872,1026,684,131,141,132,681,154,121,83,271,130,111,281,167,14,10,7,12,24,4,2,0,1,2,0,0,0,0,0,0,912,809,1043,546,0,0,0,0,0,0
SAMP_2062,40,17,84,47,5,9,11,10,2,8,4505,2403,2778,1409,1283,1384,1063,1767,1133,2592,874,911,979,938,335,58,53,74,152,20,11,4,11,5,11,20,1,5,14,0,712,766,530,533,0,0,0,0,0,0
SAMP_2063,0,0,0,0,0,0,0,0,0,0,3,22,20,0,0,0,0,12,144,8,1187,337,0,0,9044,7833,6693,4891,5398,4190,3479,2898,2838,2517,2117,2268,907,2223,3003,482,3199,2584,2547,2341,0,0,0,0,0,0
SAMP_2064,110,51,182,54,14,5,36,13,8,12,3575,2716,1829,1051,1783,1383,1322,842,1351,2095,686,1692,1344,544,119,72,27,65,94,20,14,6,5,1,2,15,1,4,14,2,1006,530,851,436,0,0,0,0,0,0
SAMP_2065,4936,4742,3660,2475,1951,2028,1366,1688,1047,828,1070,800,174,200,122,1365,488,222,172,377,156,157,297,184,42,12,7,9,21,3,1,1,2,0,2,3,0,0,1,0,2179,1137,617,1001,0,0,117,0,0,0
SAMP_2066,0,0,0,0,0,0,0,0,0,0,5,41,12,1,0,1,0,24,87,4,404,184,0,0,2388,1502,1219,1313,708,580,860,232,271,196,237,275,248,395,666,122,559,844,280,354,0,0,0,0,0,0
SAMP_2067,1544,940,2180,1486,604,317,406,734,151,301,1001,776,568,346,457,863,822,274,141,572,159,226,480,308,25,15,8,8,16,4,3,3,0,0,0,5,0,0,3,0,754,563,441,866,0,0,0,0,0,0
SAMP_2068,1438,687,1234,766,443,342,481,450,115,308,2415,739,339,684,476,2489,1229,511,618,1406,253,410,835,620,27,23,8,30,44,7,1,0,0,1,1,2,0,3,1,0,637,571,692,639,0,0,0,0,0,0
SAMP_2069,1423,962,1308,836,439,254,188,254,167,221,764,520,234,120,181,314,350,182,135,140,127,134,300,192,21,3,2,8,14,3,0,0,0,1,0,1,0,2,2,0,666,535,386,351,0,0,0,0,0,0
SAMP_2070,332,273,530,399,57,63,179,121,36,59,2511,1089,522,636,425,1110,614,506,203,457,252,569,578,777,52,25,3,12,36,3,1,4,0,0,2,2,0,1,1,0,582,466,364,173,0,0,0,0,0,0
SAMP_2071,0,1,0,0,0,0,0,0,0,0,224,822,728,53,94,91,50,1039,752,372,2029,1862,1,20,2627,1785,840,989,1082,218,317,182,240,80,220,390,28,236,427,29,1096,1086,810,588,0,0,0,0,0,0
SAMP_2072,10,11,9,7,0,1,2,2,2,1,1820,1278,2882,1401,932,825,1029,1065,1523,1899,1540,2227,431,592,379,206,42,181,238,38,30,12,3,5,8,20,1,13,23,0,895,695,774,467,0,0,0,0,0,0
SAMP_2073,1546,909,1983,1115,343,316,546,658,98,391,2657,743,407,514,482,1439,679,371,314,629,315,302,783,695,32,19,14,21,26,8,1,3,0,2,1,5,0,0,6,0,784,674,381,617,0,0,0,0,0,0
SAMP_2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3750,5881,3964,1886,3419,1906,1716,1806,1575,1580,1608,1744,805,1392,1653,1014,1096,930,1203,712,0,0,0,0,0,0
SAMP_2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1874,1820,1045,818,918,619,494,1107,560,465,515,885,530,537,338,596,529,412,315,339,0,0,0,0,0,0
SAMP_2076,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,7,0,134,54,0,0,2454,2646,1790,1659,2707,1586,1829,575,530,600,797,895,383,1088,859,434,766,958,984,761,0,108,0,0,0,0
SAMP_2077,2383,850,2268,1378,661,310,1039,911,259,344,5024,5113,1790,1868,1422,4335,1783,1086,1024,1915,766,645,1829,1777,146,38,24,53,87,22,2,6,4,1,3,6,1,7,5,3,1294,1186,1112,1715,0,0,0,0,0,0
SAMP_2078,126,93,182,142,30,20,31,24,8,14,3368,2098,1970,957,889,2692,1011,1354,570,1512,856,914,582,1223,164,55,21,80,64,18,7,5,0,0,4,5,1,5,11,1,720,406,386,631,0,0,31,0,0,0
SAMP_2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1842,1614,873,924,1176,927,743,627,728,591,222,980,452,583,306,733,314,422,359,319,0,0,0,0,0,0
SAMP_2080,0,0,0,0,0,0,0,0,0,0,191,490,750,90,205,120,37,628,577,309,2121,1086,2,25,1533,1234,420,593,675,172,192,76,27,41,36,165,12,110,164,16,633,515,369,263,0,42,0,7,0,0
SAMP_2081,2050,1468,1329,1843,945,512,649,1075,455,402,561,290,60,49,54,313,133,65,49,171,94,57,82,117,16,2,2,7,14,1,0,1,0,1,1,0,0,1,0,0,693,453,468,783,0,0,0,0,0,0
SAMP_2082,2380,2386,1884,2037,1355,1038,1211,2279,745,869,1227,424,156,134,246,934,124,101,128,362,137,158,156,193,27,13,12,8,14,1,0,1,0,0,1,4,0,0,1,0,2072,1188,938,642,0,0,0,0,0,0
SAMP_2083,21,24,54,21,0,2,4,4,2,4,2294,1586,1532,745,782,1340,674,968,744,1152,476,1126,491,610,135,46,32,65,118,9,10,8,9,1,11,18,4,4,12,0,359,269,361,298,0,0,0,0,0,0
SAMP_2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,1618,1254,726,1163,1192,921,886,620,735,549,723,458,945,622,568,387,455,336,216,98,0,0,0,0,0
SAMP_2085,90,18,105,42,12,2,8,14,3,4,3494,2868,2697,1422,1597,1548,947,2350,1327,2203,843,1841,712,685,144,150,80,152,180,51,19,15,11,2,11,17,2,6,17,0,609,820,634,1022,0,0,0,0,0,0
SAMP_2086,25,9,52,45,14,4,8,16,3,1,1999,2620,1585,726,881,1536,867,1040,1264,1380,1054,752,425,512,167,53,46,58,108,19,11,5,8,5,4,9,2,13,15,0,621,519,314,493,0,0,0,0,0,0
SAMP_2087,3038,3503,1878,1832,1036,791,1258,1909,550,736,1684,992,324,272,259,1598,400,161,189,544,128,237,678,332,50,20,8,14,25,1,2,0,1,1,2,4,1,1,1,0,1278,1635,1133,865,0,0,0,0,0,0
SAMP_2088,5,4,19,7,1,0,4,2,1,4,1959,2452,2315,1211,944,1123,858,1426,1250,2023,2610,1265,244,603,722,399,123,251,454,88,56,28,17,14,15,40,1,14,56,6,682,999,420,523,0,0,0,0,0,0
SAMP_2089,0,0,0,0,0,0,0,0,0,0,11,118,102,1,10,2,1,81,128,21,1098,727,0,0,2140,2244,1028,1738,1941,875,628,340,253,203,417,649,100,280,716,55,951,1153,502,606,0,0,0,0,0,0
SAMP_2090,667,312,943,610,63,54,149,109,50,111,3973,2372,2736,1326,1603,2744,1405,1629,1259,2553,645,793,1171,1066,95,35,30,95,63,6,11,6,0,4,2,6,1,3,6,2,1739,658,910,556,0,0,0,0,0,0
SAMP_2091,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,16,26,1,229,120,0,0,1505,1683,1330,2041,1538,659,1044,401,260,271,432,545,195,581,326,183,716,728,593,515,0,0,0,0,0,0
SAMP_2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167,2720,2973,2686,2045,2232,1884,1135,2134,1800,994,1354,1627,1372,960,929,777,810,678,660,0,0,0,0,0,0
SAMP_2093,1676,1347,2312,1478,559,382,644,438,212,333,2960,1207,853,804,602,1569,837,436,267,973,456,274,812,594,27,29,8,11,26,6,1,2,0,1,1,5,0,0,0,0,1145,535,587,606,0,0,0,0,0,0
SAMP_2094,50,32,114,43,12,9,24,22,4,12,4727,1313,2714,1310,1572,2841,1733,1329,920,1931,952,1376,499,1603,246,77,25,113,67,12,8,9,7,3,10,6,0,1,31,0,1276,999,334,408,0,0,0,13,0,0
SAMP_2095,900,377,1017,605,172,88,375,130,44,169,2280,1919,1854,1299,682,1347,860,757,821,958,284,591,991,1049,71,61,11,25,61,1,10,3,1,1,1,7,1,5,6,0,1003,1098,756,654,0,0,0,0,0,0
SAMP_2096,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,16,22,3,314,117,0,0,4440,2072,2477,2921,2165,2027,1199,1147,1078,369,464,1450,392,560,725,190,1079,949,538,987,46,0,0,0,0,0
SAMP_2097,27,12,33,23,14,7,9,4,3,6,3469,2327,1281,1286,1551,1712,1444,1265,600,2804,991,1398,586,976,211,78,32,118,167,29,17,8,7,5,5,17,0,1,19,0,562,614,569,299,0,0,0,0,0,0
SAMP_2098,2,1,12,1,1,0,0,0,0,1,2846,2246,2638,691,914,928,507,1495,1090,2303,1949,2573,106,643,893,351,191,913,417,111,61,19,28,11,28,49,12,24,119,2,572,824,1032,548,0,47,0,0,0,0
SAMP_2099,0,0,0,0,0,0,0,0,0,0,1,24,7,0,1,1,0,17,42,3,343,211,0,0,2388,1552,1336,1977,1634,1117,556,448,401,484,644,615,190,478,629,75,744,355,608,827,0,0,0,0,0,0
SAMP_2100,79,34,247,100,46,17,35,21,5,13,2734,2263,956,983,792,1072,620,1172,592,734,418,682,654,847,80,34,28,41,50,9,4,1,7,0,9,6,1,2,5,0,570,311,321,353,0,0,0,0,0,0
SAMP_2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,2212,903,1087,1370,1723,985,877,644,1111,725,510,684,687,977,698,456,432,602,278,514,0,0,0,0,0,0
SAMP_2102,14,4,22,8,1,1,3,4,0,1,1554,1407,1339,498,692,536,600,965,1073,819,542,567,389,341,128,92,28,74,122,15,8,2,8,6,6,17,4,6,11,0,389,399,301,274,0,39,0,0,0,0
SAMP_2103,2202,1075,1424,1148,639,303,676,884,264,540,786,580,214,183,130,783,234,194,120,356,122,198,243,278,22,2,2,7,18,5,1,1,0,0,1,1,0,3,2,0,798,884,388,423,0,0,0,0,0,0
SAMP_2104,0,1,0,0,0,0,1,0,1,0,291,958,682,72,219,55,58,776,866,338,2548,2231,2,55,1815,755,743,1212,943,561,223,113,84,45,154,198,27,87,219,12,749,964,906,414,0,0,0,0,0,0
SAMP_2105,0,0,0,0,0,0,0,0,0,0,1,18,5,0,0,0,0,11,47,1,279,186,0,0,2793,1606,2078,2195,1263,1895,1156,1312,1116,531,657,1639,329,1027,670,236,655,760,647,595,0,0,0,0,0,0
SAMP_2106,1397,1258,2142,1854,345,141,464,411,84,194,4463,1618,1509,1260,1122,2975,1842,841,567,1626,371,1213,1016,1058,78,33,19,25,44,13,5,2,1,2,3,6,0,6,4,1,1009,1698,784,513,0,0,0,0,0,0
SAMP_2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,1286,1457,1168,644,547,1110,634,578,886,540,589,510,181,617,453,327,366,475,192,313,0,0,0,0,0,0
SAMP_2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1113,1264,1424,819,720,743,276,561,471,406,317,644,227,299,461,248,198,263,106,168,0,0,0,0,0,0
SAMP_2109,1058,1453,2235,1238,529,295,859,690,181,270,2742,1592,1438,806,594,1500,1442,367,430,1530,227,910,923,905,74,31,19,25,39,1,8,0,7,0,1,5,2,0,6,0,2018,1107,725,559,0,0,0,0,0,0
SAMP_2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,1266,943,1235,892,1322,1034,945,889,612,971,667,536,821,812,444,626,522,471,525,0,0,0,0,0,0
SAMP_2111,682,648,693,657,201,130,174,171,102,101,291,205,106,97,86,387,139,39,50,231,30,50,111,107,6,2,1,6,2,1,1,0,0,0,0,0,0,0,0,0,85,287,135,238,0,0,0,0,0,0
SAMP_2112,423,410,1047,555,221,194,449,302,102,196,2059,703,269,281,291,945,593,264,225,594,121,335,387,250,22,11,7,8,10,1,3,0,0,1,0,1,0,1,1,0,633,640,396,372,0,33,0,0,0,0
SAMP_2113,1675,1250,1383,752,585,411,533,786,121,361,1257,501,287,240,274,750,262,106,134,471,118,136,253,222,13,5,4,6,14,0,1,0,2,0,0,2,0,0,2,0,399,852,637,474,0,0,0,0,0,0
SAMP_2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,1240,1051,922,827,843,537,1000,644,555,667,428,512,422,557,489,284,468,447,351,209,0,0,0,0,0,0
